id;laundry_machine_id;name;subprogram;time;spin;pre_wash;protect
98;1;Koch-/Buntwäsche;30°;48;1300;false;null
99;1;Koch-/Buntwäsche;30°;48;1200;false;null
100;1;Koch-/Buntwäsche;30°;48;1100;false;null
101;1;Koch-/Buntwäsche;30°;48;1000;false;null
102;1;Koch-/Buntwäsche;30°;48;900;false;null
103;1;Koch-/Buntwäsche;30°;48;800;false;null
104;1;Koch-/Buntwäsche;30°;48;700;false;null
105;1;Koch-/Buntwäsche;30°;48;600;false;null
106;1;Koch-/Buntwäsche;30°;48;500;false;null
107;1;Koch-/Buntwäsche;30°;48;400;false;null
108;1;Koch-/Buntwäsche;30°;33;0;false;null
109;1;Koch-/Buntwäsche;30°;58;1400;true;null
110;1;Koch-/Buntwäsche;30°;58;1300;true;null
111;1;Koch-/Buntwäsche;30°;58;1200;true;null
112;1;Koch-/Buntwäsche;30°;58;1100;true;null
113;1;Koch-/Buntwäsche;30°;58;1000;true;null
114;1;Koch-/Buntwäsche;30°;58;900;true;null
115;1;Koch-/Buntwäsche;30°;58;800;true;null
116;1;Koch-/Buntwäsche;30°;58;700;true;null
117;1;Koch-/Buntwäsche;30°;58;600;true;null
118;1;Koch-/Buntwäsche;30°;58;500;true;null
119;1;Koch-/Buntwäsche;30°;58;400;true;null
120;1;Koch-/Buntwäsche;30°;42;0;true;null
121;1;Pflegeleicht;60°;55;1000;false;null
122;1;Pflegeleicht;60°;55;900;false;null
123;1;Pflegeleicht;60°;55;800;false;null
124;1;Pflegeleicht;60°;55;700;false;null
125;1;Pflegeleicht;60°;55;600;false;null
126;1;Pflegeleicht;60°;55;500;false;null
127;1;Pflegeleicht;60°;55;400;false;null
128;1;Pflegeleicht;60°;45;0;false;null
129;1;Pflegeleicht;60°;64;1000;true;null
130;1;Pflegeleicht;60°;64;900;true;null
131;1;Pflegeleicht;60°;64;800;true;null
132;1;Pflegeleicht;60°;64;700;true;null
133;1;Pflegeleicht;60°;64;600;true;null
134;1;Pflegeleicht;60°;64;500;true;null
135;1;Pflegeleicht;60°;64;400;true;null
136;1;Pflegeleicht;60°;53;0;true;null
137;1;Pflegeleicht;40°;40;1000;false;null
138;1;Pflegeleicht;40°;40;900;false;null
139;1;Pflegeleicht;40°;40;800;false;null
140;1;Pflegeleicht;40°;40;700;false;null
141;1;Pflegeleicht;40°;40;600;false;null
142;1;Pflegeleicht;40°;40;500;false;null
143;1;Pflegeleicht;40°;40;400;false;null
144;1;Pflegeleicht;40°;30;0;false;null
145;1;Pflegeleicht;40°;49;1000;true;null
146;1;Pflegeleicht;40°;49;900;true;null
147;1;Pflegeleicht;40°;49;800;true;null
148;1;Pflegeleicht;40°;49;700;true;null
149;1;Pflegeleicht;40°;49;600;true;null
150;1;Pflegeleicht;40°;49;500;true;null
151;1;Pflegeleicht;40°;49;400;true;null
152;1;Pflegeleicht;40°;38;0;true;null
153;1;Pflegeleicht;30°;40;1000;false;null
154;1;Pflegeleicht;30°;40;900;false;null
155;1;Pflegeleicht;30°;40;800;false;null
156;1;Pflegeleicht;30°;40;700;false;null
157;1;Pflegeleicht;30°;40;600;false;null
158;1;Pflegeleicht;30°;40;500;false;null
159;1;Pflegeleicht;30°;40;400;false;null
160;1;Pflegeleicht;30°;30;0;false;null
161;1;Pflegeleicht;30°;49;1000;true;null
162;1;Pflegeleicht;30°;49;900;true;null
163;1;Pflegeleicht;30°;49;800;true;null
164;1;Pflegeleicht;30°;49;700;true;null
165;1;Pflegeleicht;30°;49;600;true;null
166;1;Pflegeleicht;30°;49;500;true;null
167;1;Pflegeleicht;30°;49;400;true;null
168;1;Pflegeleicht;30°;38;0;true;null
169;1;Intensiv waschen;60°;88;1400;false;null
170;1;Intensiv waschen;60°;88;1300;false;null
171;1;Intensiv waschen;60°;88;1200;false;null
172;1;Intensiv waschen;60°;88;1100;false;null
173;1;Intensiv waschen;60°;88;1000;false;null
174;1;Intensiv waschen;60°;88;900;false;null
175;1;Intensiv waschen;60°;88;800;false;null
176;1;Intensiv waschen;60°;88;700;false;null
177;1;Intensiv waschen;60°;88;600;false;null
178;1;Intensiv waschen;60°;88;500;false;null
179;1;Intensiv waschen;60°;88;400;false;null
180;1;Intensiv waschen;60°;67;0;false;null
181;1;Intensiv waschen;60°;99;1400;true;null
182;1;Intensiv waschen;60°;99;1300;true;null
183;1;Intensiv waschen;60°;99;1200;true;null
184;1;Intensiv waschen;60°;99;1100;true;null
185;1;Intensiv waschen;60°;99;1000;true;null
186;1;Intensiv waschen;60°;99;900;true;null
187;1;Intensiv waschen;60°;99;800;true;null
188;1;Intensiv waschen;60°;99;700;true;null
189;1;Intensiv waschen;60°;99;600;true;null
190;1;Intensiv waschen;60°;99;500;true;null
191;1;Intensiv waschen;60°;99;400;true;null
192;1;Intensiv waschen;60°;77;0;true;null
193;1;Intensiv waschen;40°;89;1400;false;null
194;1;Intensiv waschen;40°;89;1300;false;null
195;1;Intensiv waschen;40°;89;1200;false;null
196;1;Intensiv waschen;40°;89;1100;false;null
197;1;Intensiv waschen;40°;89;1000;false;null
198;1;Intensiv waschen;40°;89;900;false;null
199;1;Intensiv waschen;40°;89;800;false;null
200;1;Intensiv waschen;40°;89;700;false;null
201;1;Intensiv waschen;40°;89;600;false;null
202;1;Intensiv waschen;40°;89;500;false;null
203;1;Intensiv waschen;40°;89;400;false;null
204;1;Intensiv waschen;40°;68;0;false;null
205;1;Intensiv waschen;40°;100;1400;true;null
206;1;Intensiv waschen;40°;100;1300;true;null
207;1;Intensiv waschen;40°;100;1200;true;null
208;1;Intensiv waschen;40°;100;1100;true;null
209;1;Intensiv waschen;40°;100;1000;true;null
210;1;Intensiv waschen;40°;100;900;true;null
211;1;Intensiv waschen;40°;100;800;true;null
212;1;Intensiv waschen;40°;100;700;true;null
213;1;Intensiv waschen;40°;100;600;true;null
214;1;Intensiv waschen;40°;100;500;true;null
215;1;Intensiv waschen;40°;100;400;true;null
216;1;Intensiv waschen;40°;78;0;true;null
217;1;Feinwäsche;40°;33;600;false;null
218;1;Feinwäsche;40°;33;500;false;null
219;1;Feinwäsche;40°;33;400;false;null
220;1;Feinwäsche;40°;31;0;false;null
221;1;Feinwäsche;40°;39;600;true;null
222;1;Feinwäsche;40°;39;500;true;null
223;1;Feinwäsche;40°;39;400;true;null
224;1;Feinwäsche;40°;38;0;true;null
225;1;Feinwäsche;30°;33;600;false;null
226;1;Feinwäsche;30°;33;500;false;null
227;1;Feinwäsche;30°;33;400;false;null
228;1;Feinwäsche;30°;31;0;false;null
229;1;Feinwäsche;30°;39;600;true;null
230;1;Feinwäsche;30°;39;500;true;null
231;1;Feinwäsche;30°;39;400;true;null
232;1;Feinwäsche;30°;38;0;true;null
233;1;Feinwäsche;20°;33;600;false;null
234;1;Feinwäsche;20°;33;500;false;null
235;1;Feinwäsche;20°;33;400;false;null
236;1;Feinwäsche;20°;31;0;false;null
237;1;Feinwäsche;20°;39;600;true;null
238;1;Feinwäsche;20°;39;500;true;null
239;1;Feinwäsche;20°;39;400;true;null
240;1;Feinwäsche;20°;38;0;true;null
241;1;Pumpen/Schleudern;null;8;1400;null;null
242;1;Pumpen/Schleudern;null;8;1300;null;null
243;1;Pumpen/Schleudern;null;8;1200;null;null
244;1;Pumpen/Schleudern;null;8;1100;null;null
245;1;Pumpen/Schleudern;null;8;1000;null;null
246;1;Pumpen/Schleudern;null;8;900;null;null
